18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Returning the  [[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']], [[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base']]] from the safeFindElements method
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Trying to read filter option 0 (attempt 1/3)
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Successfully read filter option 0 = '10% Off or more'
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getfilterByTypeAndName method
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeClickBooleanWithScreenShot method
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getAppliedfilterByTypeAndName method
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within smoothScrollToElement method
18:54:51 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']]
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getMoreButtonByFilterTypeAndName method
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] could not find more button
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getAppliedfilterByTypeAndName method
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within smoothScrollToElement method
18:54:52 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within safeFindElement method
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (b624ac9432561aa7939a2cb3d3fd8ff8)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']]
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Successfully scrolled to element: By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Discount']
18:54:53 [TestNG-test-Test-2] INFO  verifyingDiscountFilterFunctionality_Mobile_18-53-42 - [verifyingDiscountFilterFunctionality_Mobile_18-53-42] Within getMoreButtonByFilterTypeAndName method
