19:41:10 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:41:10 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - WebDriverManager: chromedriver setup OK
19:41:12 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - ChromeDriver initialized successfully for thread: 36
19:41:13 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Opening amazon Landing page
19:41:13 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within safeFindElement method
19:41:15 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //a[@id='nav-logo-sprites']]
19:41:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Giving input within the search bar
19:41:16 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within safeClick method
19:41:18 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Clicked the  [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:41:18 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Clicking on the submit in the search bar
19:41:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Waiting until element is visible in viewport
19:41:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within validateDeliveryFilterOptionsWithResult method
19:41:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within safeClick method
19:41:20 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Clicked the  [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
19:41:20 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within getMoreButtonByFilterTypeAndName method
19:41:20 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
19:41:20 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within safeFindElements 
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Returning the  [[[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3f0d1974aae70989abd6308bd5ea8f22)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] this is the set  [Jun, Today, FREE delivery, 07, 08, Sun, Mon, Tomorrow]
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:41:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-41-10] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
