20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:09 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
